eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.0,-1e-10,1e-05,-1.98228408798613e-10,7.955821905199499e-07,-1.9918656824895236e-10,3.45461627723311e-05,-1200.644969025173,-5132.369208994582,-1195.6416737699094
0.0,-1e-10,9.999999999999999e-05,-2.0181568337010775e-10,-1.2167200364881147e-05,-2.0569051726125357e-10,7.911445486574373e-05,-1201.070190167991,-5268.695646398738,-1197.974883554083
0.0,-1e-09,0.0,-2.011021472254115e-09,nan,nan,nan,-1264.381516986075,nan,nan
0.0,-1e-09,9.999999999999999e-09,-2.0094657059283434e-09,nan,nan,nan,-1264.381516986075,nan,nan
0.0,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
0.0,-1e-08,9.999999999999999e-09,nan,nan,nan,nan,nan,nan,nan
1e-05,-0.0,0.0,-3.205024379006251e-12,8.157466143774857e-09,-3.248822439625784e-12,-8.397459911408645e-09,-1224.2822190617826,-1218.0968159689662,-1221.956386724
1e-05,-0.0,1.0000000000000002e-08,1.841040007264865e-12,1.5201653408387993e-08,2.9550789827475115e-12,-7.768703907585456e-10,-1224.2822190617826,-1218.0968159689662,-1221.956386724
1e-05,-0.0,1.0000000000000002e-07,1.5862437038620716e-14,-2.770261618440638e-07,6.279983937823516e-14,6.987154812607014e-08,-1201.1719758390266,-1193.5425422520314,-1194.7860797093488
1e-05,-0.0,1.0000000000000002e-06,-6.569210559016418e-13,-7.669269379041492e-07,-2.2422319205797844e-12,6.143213099784301e-07,-1157.0382870674662,-1149.169825803834,-1150.1542164613481
1e-05,-0.0,1e-05,-4.840835911491672e-13,-3.7455958691691164e-05,-1.338890459227655e-12,4.666648828382477e-05,-1164.389524134505,-1156.8199062548076,-1160.7364003823961
1e-05,-0.0,0.00010000000000000003,1.5578836811379899e-12,-3.9848308068874435e-05,1.5978936502950872e-13,1.1703754875739452e-05,-1207.8093785812691,-1202.239058797584,-1205.4375920623947
1e-05,-1e-12,0.0,-2.304755483864333e-12,-7.59510868510119e-09,-3.122217784222039e-12,-3.9909085512480404e-08,-1197.0505699045966,-1189.933387137255,-1190.5781330186678
1e-05,-1e-12,1.0000000000000002e-08,3.306326620507751e-12,-2.306430045389166e-09,2.9577092314893356e-12,9.319467514407085e-09,-1197.0505699045966,-1189.933387137255,-1190.5781330186678
1e-05,-1e-12,1.0000000000000002e-07,-7.0529899232527076e-12,-9.666019433608932e-08,-6.486985332951938e-12,1.9639171168547797e-07,-1230.0530594192405,-1226.0417341314555,-1224.6678708233587
1e-05,-1e-12,1.0000000000000002e-06,1.4657976217307325e-12,-1.136201143226145e-06,1.444537785184109e-12,3.815454874338066e-06,-1247.7212055714033,-1239.593264467447,-1247.3189552528083
1e-05,-1e-12,1e-05,-6.0536488969686326e-12,-5.6123563786567024e-05,-7.65416140823652e-12,-6.408051550568275e-06,-1177.0300022339559,-1173.0644550620611,-1170.9638224494997
1e-05,-1e-12,0.00010000000000000003,-5.031645927260491e-12,-0.00010262916966271782,-5.944027084635064e-12,1.9992439068005838e-05,-1202.826595906063,-1201.036661497221,-1202.2175758459944
1e-05,-1e-11,0.0,-1.972638350539322e-11,-1.7163433078240025e-09,-1.9666398978749462e-11,1.754750283011627e-08,-1176.6361810217893,-1205.1166894988112,-1171.0543959805696
1e-05,-1e-11,1.0000000000000002e-08,-2.0737426835289695e-11,-1.5879114638159436e-08,-2.0687079159100264e-11,-1.913726514934238e-08,-1176.6361810217893,-1205.1166894988112,-1171.0543959805696
